record_id,employee_id,event_id,date,due_date,status,completion_pct,score,feedback_rating,assigned_by,employee_role,employee_grade,employee_work_format,employee_preferred_language,employee_hire_date,event_type,event_format,duration_hours,mandatory,tenure_days_at_activity,attempt_number,prior_same_event_attempts,employee_prior_outcomes,employee_completion_rate_before,employee_dropped_rate_before,employee_no_show_rate_before,employee_declined_rate_before,employee_format_prior_outcomes,employee_format_completion_rate_before,employee_type_prior_outcomes,employee_type_completion_rate_before,event_prior_outcomes,event_completion_rate_before,is_first_employee_activity,days_since_previous_activity,outcome_class,completed_label
R000017,E0099,EV_008,2024-10-11,,no_show,0,,,manager,HR Business Partner,Middle,hybrid,ru,2022-05-17,workshop,online,4,False,878,1,0,1,0.4,0.2,0.2,0.2,0,0.5,0,0.5,0,0.5,0,4,no_show,0
R000018,E0092,EV_001,2024-10-14,2024-11-13,completed,100,99.0,,hr,Backend Engineer,Middle,office,en,2024-10-11,compliance,self_paced,2,True,3,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,0,0.5,1,-1,not_training_eligible,
R000019,E0092,EV_002,2024-10-14,2024-11-13,completed,100,74.0,,hr,Backend Engineer,Middle,office,en,2024-10-11,compliance,self_paced,2,True,3,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,0,0.5,1,-1,not_training_eligible,
R000020,E0092,EV_003,2024-10-14,2024-11-13,completed,100,78.0,,hr,Backend Engineer,Middle,office,en,2024-10-11,compliance,self_paced,2,True,3,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,0,0.5,1,-1,not_training_eligible,
R000021,E0164,EV_040,2024-10-14,,no_show,0,,,hr,Backend Engineer,Middle,hybrid,ru,2022-08-26,workshop,offline,4,False,780,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,1,0.6666666666666666,1,-1,no_show,0
R000022,E0189,EV_008,2024-10-14,,completed,100,,5.0,self,QA Engineer,Senior,office,ru,2019-11-18,workshop,online,4,False,1792,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,1,0.3333333333333333,1,-1,completed,1
R000023,E0158,EV_040,2024-10-15,,declined,0,,,manager,Sales Manager,Senior,office,kk,2018-08-27,workshop,offline,4,False,2241,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,2,0.5,1,-1,declined,0
R000024,E0061,EV_038,2024-10-16,,completed,100,83.0,3.0,self,Data Analyst,Lead,remote,kk,2023-07-17,course,online,16,False,457,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,1,0.6666666666666666,1,-1,completed,1
R000025,E0062,EV_032,2024-10-16,,completed,100,,4.0,self,Sales Manager,Middle,office,ru,2022-06-22,workshop,offline,8,False,847,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,2,0.75,1,-1,completed,1
R000026,E0056,EV_033,2024-10-17,,no_show,0,,,manager,Sales Manager,Middle,office,ru,2022-07-18,course,online,10,False,822,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,0,0.5,1,-1,no_show,0
R000027,E0079,EV_001,2024-10-17,2024-11-16,completed,100,80.0,,hr,Sales Manager,Junior,office,ru,2024-10-14,compliance,self_paced,2,True,3,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,0,0.5,1,-1,not_training_eligible,
R000028,E0079,EV_002,2024-10-17,2024-11-16,completed,100,99.0,,hr,Sales Manager,Junior,office,ru,2024-10-14,compliance,self_paced,2,True,3,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,0,0.5,1,-1,not_training_eligible,
R000029,E0079,EV_003,2024-10-17,2024-11-16,completed,100,96.0,,hr,Sales Manager,Junior,office,ru,2024-10-14,compliance,self_paced,2,True,3,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,0,0.5,1,-1,not_training_eligible,
R000030,E0165,EV_036,2024-10-17,,completed,100,,4.0,self,Product Manager,Junior,office,ru,2024-08-30,meetup,offline,2,False,48,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,1,0.3333333333333333,1,-1,completed,1
R000031,E0028,EV_007,2024-10-18,,no_show,0,,,manager,Backend Engineer,Middle,hybrid,kk,2022-05-23,mentoring,online,8,False,879,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,1,0.6666666666666666,1,-1,no_show,0
R000032,E0059,EV_008,2024-10-18,,completed,100,,,self,Sales Manager,Middle,remote,ru,2023-06-28,workshop,online,4,False,478,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,2,0.5,1,-1,completed,1
R000033,E0013,EV_025,2024-10-21,,no_show,0,,,self,Backend Engineer,Senior,office,ru,2020-12-28,course,online,10,False,1393,1,0,1,0.4,0.2,0.2,0.2,0,0.5,0,0.5,0,0.5,0,11,no_show,0
R000034,E0059,EV_039,2024-10-21,,completed,100,,,self,Sales Manager,Middle,remote,ru,2023-06-28,workshop,online,3,False,481,1,0,1,0.4,0.2,0.2,0.2,1,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,0,3,completed,1
R000035,E0067,EV_001,2024-10-21,2024-11-20,completed,100,82.0,,hr,Frontend Engineer,Middle,hybrid,ru,2024-10-16,compliance,self_paced,2,True,5,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,0,0.5,1,-1,not_training_eligible,
R000036,E0067,EV_002,2024-10-21,2024-11-20,completed,100,71.0,,hr,Frontend Engineer,Middle,hybrid,ru,2024-10-16,compliance,self_paced,2,True,5,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,0,0.5,1,-1,not_training_eligible,
R000037,E0067,EV_003,2024-10-21,2024-11-20,completed,100,72.0,,hr,Frontend Engineer,Middle,hybrid,ru,2024-10-16,compliance,self_paced,2,True,5,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,0,0.5,1,-1,not_training_eligible,
R000038,E0097,EV_038,2024-10-21,,completed,100,100.0,4.0,self,Backend Engineer,Senior,office,kk,2024-02-16,course,online,16,False,248,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,2,0.75,1,-1,completed,1
R000039,E0127,EV_036,2024-10-21,,completed,100,,4.0,manager,Backend Engineer,Middle,remote,kk,2022-06-29,meetup,offline,2,False,845,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,2,0.5,1,-1,completed,1
R000040,E0134,EV_027,2024-10-21,,completed,100,,2.0,self,Product Manager,Middle,hybrid,ru,2023-05-01,workshop,online,6,False,539,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,1,0.6666666666666666,1,-1,completed,1
R000041,E0150,EV_008,2024-10-22,,completed,100,,5.0,self,Backend Engineer,Middle,office,ru,2023-07-03,workshop,online,4,False,477,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,3,0.6,1,-1,completed,1
R000042,E0060,EV_023,2024-10-24,,completed,100,,5.0,self,Product Manager,Lead,office,kk,2021-10-18,workshop,offline,6,False,1102,1,0,1,0.4,0.2,0.2,0.2,1,0.6666666666666666,1,0.6666666666666666,0,0.5,0,21,completed,1
R000043,E0092,EV_004,2024-10-24,2024-11-10,completed,100,,,hr,Backend Engineer,Middle,office,en,2024-10-11,onboarding,offline,8,True,13,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,0,0.5,0,10,not_training_eligible,
R000044,E0172,EV_034,2024-10-24,,completed,100,,,manager,HR Business Partner,Senior,remote,ru,2018-08-27,workshop,online,4,False,2250,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,1,0.3333333333333333,1,-1,completed,1
R000045,E0185,EV_001,2024-10-24,2024-11-23,completed,100,78.0,,hr,Customer Support Specialist,Middle,remote,kk,2024-10-21,compliance,self_paced,2,True,3,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,0,0.5,1,-1,not_training_eligible,
R000046,E0185,EV_002,2024-10-24,2024-11-23,completed,100,94.0,,hr,Customer Support Specialist,Middle,remote,kk,2024-10-21,compliance,self_paced,2,True,3,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,0,0.5,1,-1,not_training_eligible,
R000047,E0185,EV_003,2024-10-24,2024-11-23,completed,100,93.0,,hr,Customer Support Specialist,Middle,remote,kk,2024-10-21,compliance,self_paced,2,True,3,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,0,0.5,1,-1,not_training_eligible,
R000048,E0046,EV_033,2024-10-28,,completed,100,100.0,5.0,manager,Sales Manager,Middle,hybrid,ru,2024-02-26,course,online,10,False,245,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,1,0.3333333333333333,1,-1,completed,1
R000049,E0107,EV_008,2024-10-28,,completed,100,,4.0,self,Product Manager,Middle,office,ru,2022-04-25,workshop,online,4,False,917,1,0,1,0.4,0.2,0.2,0.2,1,0.6666666666666666,1,0.6666666666666666,4,0.6666666666666666,0,25,completed,1
R000050,E0162,EV_021,2024-10-28,,completed,100,,4.0,self,Data Analyst,Middle,hybrid,kk,2024-01-15,workshop,online,6,False,287,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,0,0.5,1,-1,completed,1
R000051,E0010,EV_035,2024-10-29,,dropped,50,,,manager,Customer Support Specialist,Middle,remote,ru,2023-11-24,course,online,16,False,340,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,1,0.6666666666666666,1,-1,dropped,0
R000052,E0017,EV_027,2024-10-29,,completed,100,,4.0,manager,Product Manager,Senior,office,ru,2019-02-26,workshop,online,6,False,2072,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,2,0.75,1,-1,completed,1
R000053,E0051,EV_008,2024-10-29,,completed,100,,5.0,self,Sales Manager,Senior,office,kk,2023-01-30,workshop,online,4,False,638,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,5,0.7142857142857143,1,-1,completed,1
R000054,E0180,EV_038,2024-10-29,,completed,100,100.0,4.0,manager,Customer Support Specialist,Lead,hybrid,kk,2020-05-14,course,online,16,False,1629,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,3,0.8,1,-1,completed,1
R000055,E0065,EV_011,2024-10-30,,completed,100,,3.0,manager,QA Engineer,Middle,hybrid,en,2022-08-01,workshop,offline,6,False,821,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,0,0.5,1,-1,completed,1
R000056,E0073,EV_020,2024-10-30,,dropped,40,,,hr,Data Analyst,Senior,office,ru,2022-08-29,course,self_paced,40,False,793,1,0,1,0.4,0.2,0.2,0.2,0,0.5,1,0.6666666666666666,0,0.5,0,26,dropped,0
R000057,E0109,EV_008,2024-10-30,,completed,100,,3.0,hr,Frontend Engineer,Middle,office,ru,2023-12-21,workshop,online,4,False,314,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,6,0.75,1,-1,completed,1
R000058,E0111,EV_009,2024-10-30,,completed,100,93.0,5.0,self,QA Engineer,Middle,office,ru,2024-06-19,certification,self_paced,40,False,133,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,0,0.5,1,-1,completed,1
R000059,E0153,EV_033,2024-10-30,,completed,100,85.0,,self,Sales Manager,Middle,office,ru,2022-10-17,course,online,10,False,744,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,2,0.5,1,-1,completed,1
R000060,E0176,EV_008,2024-10-30,,completed,100,,4.0,manager,Product Manager,Junior,hybrid,ru,2024-04-29,workshop,online,4,False,184,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,6,0.75,1,-1,completed,1
R000061,E0123,EV_036,2024-10-31,,completed,100,,5.0,manager,Frontend Engineer,Senior,hybrid,kk,2021-04-15,meetup,offline,2,False,1295,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,3,0.6,1,-1,completed,1
R000062,E0147,EV_040,2024-10-31,,completed,100,,5.0,manager,Frontend Engineer,Middle,office,ru,2024-05-27,workshop,offline,4,False,157,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,3,0.4,1,-1,completed,1
R000063,E0148,EV_008,2024-10-31,,completed,100,,4.0,self,Sales Manager,Lead,office,kk,2020-08-18,workshop,online,4,False,1535,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,8,0.8,1,-1,completed,1
R000064,E0198,EV_040,2024-10-31,,completed,100,,4.0,self,Sales Manager,Junior,office,ru,2024-06-26,workshop,offline,4,False,127,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,3,0.4,1,-1,completed,1
R000065,E0053,EV_019,2024-11-01,,no_show,0,,,manager,QA Engineer,Junior,remote,kk,2024-05-28,workshop,offline,8,False,157,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,0,0.5,1,-1,no_show,0
R000066,E0112,EV_035,2024-11-01,,completed,100,66.0,4.0,self,Customer Support Specialist,Senior,hybrid,ru,2019-12-30,course,online,16,False,1768,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,2,0.5,1,-1,completed,1
R000067,E0002,EV_001,2024-11-04,2024-12-04,completed,100,72.0,,hr,Backend Engineer,Middle,remote,ru,2023-04-25,compliance,self_paced,2,True,559,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,0,0.5,1,-1,not_training_eligible,
R000068,E0003,EV_001,2024-11-04,2024-12-04,completed,100,74.0,,hr,Customer Support Specialist,Senior,hybrid,kk,2019-09-16,compliance,self_paced,2,True,1876,1,0,1,0.4,0.2,0.2,0.2,0,0.5,0,0.5,0,0.5,0,32,not_training_eligible,
R000069,E0004,EV_001,2024-11-04,2024-12-04,completed,100,82.0,,hr,Data Analyst,Middle,office,ru,2021-10-21,compliance,self_paced,2,True,1110,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,0,0.5,1,-1,not_training_eligible,
R000070,E0004,EV_040,2024-11-04,,completed,100,,5.0,self,Data Analyst,Middle,office,ru,2021-10-21,workshop,offline,4,False,1110,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,5,0.5714285714285714,1,-1,completed,1
R000071,E0005,EV_001,2024-11-04,2024-12-04,completed,100,90.0,,hr,Backend Engineer,Middle,hybrid,kk,2024-06-12,compliance,self_paced,2,True,145,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,0,0.5,1,-1,not_training_eligible,
R000072,E0006,EV_001,2024-11-04,2024-12-04,completed,100,88.0,,hr,Frontend Engineer,Lead,office,kk,2018-01-16,compliance,self_paced,2,True,2484,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,0,0.5,1,-1,not_training_eligible,
R000073,E0007,EV_001,2024-11-04,2024-12-04,completed,100,87.0,,hr,Backend Engineer,Senior,office,kk,2018-10-26,compliance,self_paced,2,True,2201,1,0,1,0.4,0.2,0.2,0.2,0,0.5,0,0.5,0,0.5,0,31,not_training_eligible,
R000074,E0010,EV_001,2024-11-04,2024-12-04,completed,100,96.0,,hr,Customer Support Specialist,Middle,remote,ru,2023-11-24,compliance,self_paced,2,True,346,1,0,1,0.2,0.4,0.2,0.2,0,0.5,0,0.5,0,0.5,0,6,not_training_eligible,
R000075,E0011,EV_001,2024-11-04,2024-12-04,completed,100,80.0,,hr,Data Analyst,Senior,office,kk,2021-01-11,compliance,self_paced,2,True,1393,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,0,0.5,1,-1,not_training_eligible,
R000076,E0012,EV_001,2024-11-04,2024-12-04,completed,100,77.0,,hr,Sales Manager,Middle,hybrid,ru,2022-01-19,compliance,self_paced,2,True,1020,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,0,0.5,1,-1,not_training_eligible,
R000077,E0013,EV_001,2024-11-04,2024-12-04,completed,100,87.0,,hr,Backend Engineer,Senior,office,ru,2020-12-28,compliance,self_paced,2,True,1407,1,0,2,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,0,0.5,0,0.5,0,0.5,0,14,not_training_eligible,
R000078,E0014,EV_001,2024-11-04,2024-12-04,completed,100,70.0,,hr,HR Business Partner,Lead,office,en,2019-10-02,compliance,self_paced,2,True,1860,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,0,0.5,1,-1,not_training_eligible,
R000079,E0015,EV_001,2024-11-04,2024-12-04,completed,100,91.0,,hr,Frontend Engineer,Middle,office,ru,2024-03-20,compliance,self_paced,2,True,229,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,0,0.5,1,-1,not_training_eligible,
R000080,E0017,EV_001,2024-11-04,2024-12-04,completed,100,70.0,,hr,Product Manager,Senior,office,ru,2019-02-26,compliance,self_paced,2,True,2078,1,0,1,0.4,0.2,0.2,0.2,0,0.5,0,0.5,0,0.5,0,6,not_training_eligible,
R000081,E0018,EV_001,2024-11-04,2024-12-04,completed,100,77.0,,hr,Customer Support Specialist,Junior,remote,en,2024-03-26,compliance,self_paced,2,True,223,1,0,1,0.4,0.2,0.2,0.2,0,0.5,0,0.5,0,0.5,0,34,not_training_eligible,
R000082,E0020,EV_001,2024-11-04,2024-12-04,completed,100,86.0,,hr,Product Manager,Junior,remote,ru,2024-05-22,compliance,self_paced,2,True,166,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,0,0.5,1,-1,not_training_eligible,
R000083,E0021,EV_001,2024-11-04,2024-12-04,completed,100,70.0,,hr,Customer Support Specialist,Middle,remote,ru,2024-09-12,compliance,self_paced,2,True,53,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,0,0.5,1,-1,not_training_eligible,
R000084,E0025,EV_001,2024-11-04,2024-12-04,completed,100,97.0,,hr,Data Analyst,Junior,office,kk,2024-04-22,compliance,self_paced,2,True,196,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,0,0.5,1,-1,not_training_eligible,
R000085,E0026,EV_001,2024-11-04,2024-12-04,completed,100,81.0,,hr,Backend Engineer,Senior,hybrid,kk,2022-04-25,compliance,self_paced,2,True,924,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,0,0.5,1,-1,not_training_eligible,
R000086,E0028,EV_001,2024-11-04,2024-12-04,completed,100,90.0,,hr,Backend Engineer,Middle,hybrid,kk,2022-05-23,compliance,self_paced,2,True,896,1,0,1,0.2,0.2,0.4,0.2,0,0.5,0,0.5,0,0.5,0,17,not_training_eligible,
R000087,E0032,EV_001,2024-11-04,2024-12-04,completed,100,79.0,,hr,Data Analyst,Junior,hybrid,kk,2024-07-18,compliance,self_paced,2,True,109,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,0,0.5,1,-1,not_training_eligible,
R000088,E0035,EV_001,2024-11-04,2024-12-04,completed,100,96.0,,hr,Customer Support Specialist,Lead,hybrid,ru,2021-08-26,compliance,self_paced,2,True,1166,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,0,0.5,1,-1,not_training_eligible,
R000089,E0038,EV_001,2024-11-04,2024-12-04,completed,100,95.0,,hr,Product Manager,Senior,hybrid,kk,2022-06-24,compliance,self_paced,2,True,864,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,0,0.5,1,-1,not_training_eligible,
R000090,E0039,EV_001,2024-11-04,2024-12-04,completed,100,75.0,,hr,Data Analyst,Middle,hybrid,ru,2022-08-29,compliance,self_paced,2,True,798,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,0,0.5,1,-1,not_training_eligible,
R000091,E0041,EV_001,2024-11-04,2024-12-04,completed,100,83.0,,hr,Product Manager,Senior,office,kk,2023-09-22,compliance,self_paced,2,True,409,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,0,0.5,1,-1,not_training_eligible,
R000092,E0042,EV_001,2024-11-04,2024-12-04,completed,100,78.0,,hr,Frontend Engineer,Junior,hybrid,ru,2024-08-21,compliance,self_paced,2,True,75,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,0,0.5,1,-1,not_training_eligible,
R000093,E0043,EV_001,2024-11-04,2024-12-04,completed,100,83.0,,hr,Frontend Engineer,Senior,hybrid,ru,2021-08-13,compliance,self_paced,2,True,1179,1,0,1,0.4,0.2,0.2,0.2,0,0.5,0,0.5,0,0.5,0,27,not_training_eligible,
R000094,E0044,EV_001,2024-11-04,2024-12-04,completed,100,94.0,,hr,Frontend Engineer,Lead,office,kk,2022-10-17,compliance,self_paced,2,True,749,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,0,0.5,1,-1,not_training_eligible,
R000095,E0044,EV_014,2024-11-04,,completed,100,,,self,Frontend Engineer,Lead,office,kk,2022-10-17,workshop,offline,8,False,749,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,0,0.5,1,-1,completed,1
R000096,E0046,EV_001,2024-11-04,2024-12-04,completed,100,75.0,,hr,Sales Manager,Middle,hybrid,ru,2024-02-26,compliance,self_paced,2,True,252,1,0,1,0.4,0.2,0.2,0.2,0,0.5,0,0.5,0,0.5,0,7,not_training_eligible,
R000097,E0047,EV_001,2024-11-04,2024-12-04,completed,100,87.0,,hr,Backend Engineer,Middle,office,ru,2022-12-22,compliance,self_paced,2,True,683,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,0,0.5,1,-1,not_training_eligible,
R000098,E0050,EV_001,2024-11-04,2024-12-04,completed,100,97.0,,hr,Backend Engineer,Lead,hybrid,ru,2017-01-24,compliance,self_paced,2,True,2841,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,0,0.5,1,-1,not_training_eligible,
R000099,E0051,EV_001,2024-11-04,2024-12-04,completed,100,93.0,,hr,Sales Manager,Senior,office,kk,2023-01-30,compliance,self_paced,2,True,644,1,0,1,0.4,0.2,0.2,0.2,0,0.5,0,0.5,0,0.5,0,6,not_training_eligible,
R000100,E0053,EV_001,2024-11-04,2024-12-04,completed,100,72.0,,hr,QA Engineer,Junior,remote,kk,2024-05-28,compliance,self_paced,2,True,160,1,0,1,0.2,0.2,0.4,0.2,0,0.5,0,0.5,0,0.5,0,3,not_training_eligible,
R000101,E0054,EV_001,2024-11-04,2024-12-04,completed,100,81.0,,hr,Data Analyst,Senior,hybrid,kk,2022-11-30,compliance,self_paced,2,True,705,1,0,1,0.2,0.2,0.2,0.4,0,0.5,0,0.5,0,0.5,0,34,not_training_eligible,
R000102,E0055,EV_001,2024-11-04,2024-12-04,completed,100,90.0,,hr,Product Manager,Lead,hybrid,en,2023-02-22,compliance,self_paced,2,True,621,1,0,0,0.25,0.25,0.25,0.25,0,0.5,0,0.5,0,0.5,1,-1,not_training_eligible,
R000103,E0056,EV_001,2024-11-04,2024-12-04,completed,100,70.0,,hr,Sales Manager,Middle,office,ru,2022-07-18,compliance,self_paced,2,True,840,1,0,1,0.2,0.2,0.4,0.2,0,0.5,0,0.5,0,0.5,0,18,not_training_eligible,
R000104,E0057,EV_001,2024-11-04,2024-12-04,completed,100,82.0,,hr,Sales Manager,Senior,hybrid,kk,2023-10-19,compliance,self_paced,2,True,382,1,0,1,0.4,0.2,0.2,0.2,0,0.5,0,0.5,0,0.5,0,28,not_training_eligible,
